                     Expected | GnuTLS  NSS     OpenSSL | Test description
suite4-ip2.tmpl      INvalid  | INvalid INvalid INvalid | simple intersection - IP falls out by intersection
suite4-ip3.tmpl      INvalid  | INvalid INvalid INvalid | simple intersection - IP unrelated to permitted ranges
suite5-ip1.tmpl      INvalid  | INvalid INvalid INvalid | empty intersection - IP subset of first constraint
suite5-ip2.tmpl      INvalid  | INvalid INvalid INvalid | empty intersection - IP unrelated to constraints
suite5-ip3.tmpl      INvalid  | INvalid INvalid INvalid | empty intersection - IP subset of second constraint
suite6-ip1.tmpl      valid    | valid   valid   INvalid | mediocre intersection - IP in intersection
suite6-ip2.tmpl      INvalid  | INvalid INvalid INvalid | mediocre intersection - IP falls out by intersecting
suite6-ip3.tmpl      INvalid  | INvalid INvalid INvalid | mediocre intersection - IP unrealted to constraints
suite6-ip4.tmpl      INvalid  | INvalid INvalid INvalid | mediocre intersection - IP falls out in intersection
suite7-ip1.tmpl      valid    | valid   valid   INvalid | difficult intersection - IP in intersection
suite7-ip2.tmpl      INvalid  | INvalid INvalid INvalid | difficult intersection - IP falls out by due to intersection
suite7-ip3.tmpl      valid    | valid   valid   INvalid | difficult intersection - IP in intersection
suite7-ip4.tmpl      INvalid  | INvalid INvalid INvalid | difficult intersection - IP falls out due to intersection
suite7-ip5.tmpl      INvalid  | INvalid INvalid INvalid | difficult intersection - IP unrelated to permitted constraints
suite7-ip6.tmpl      INvalid  | INvalid INvalid INvalid | difficult intersection - IP falls out due to intersection
suite7-ip7.tmpl      valid    | valid   valid   INvalid | difficult intersection - IP in intersection
suite7-ip8.tmpl      INvalid  | INvalid INvalid INvalid | difficult intersection - IP unrelated to constraints
suite8-ip1.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP unrealted to constraints
suite8-ip2.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP falls out due to intersection
suite8-ip3.tmpl      valid    | valid   valid   INvalid | IPv6 intersection - IP in intersection
suite8-ip4.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP falls out due to intersection
suite8-ip5.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP unrealted to constraints
suite8-ip6.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP falls out due to intersection
suite8-ip7.tmpl      INvalid  | INvalid INvalid INvalid | IPv6 intersection - IP unrealted to constraints
suite9-ip1.tmpl      INvalid  | INvalid INvalid INvalid | IPv4/v6 interaction - IP falls out due to intersection
suite9-ip2.tmpl      INvalid  | INvalid INvalid INvalid | IPv4/v6 interaction - IP unrelated to permitted constraints
suite9-ip3.tmpl      INvalid  | INvalid INvalid INvalid | IPv4/v6 interaction - IP falls out due to intersection
suite9-ip4.tmpl      INvalid  | INvalid INvalid INvalid | IPv4/v6 interaction - IPv6 in permitted range (but gets restricted)
suite9-ip5.tmpl      INvalid  | INvalid INvalid INvalid | IPv4/v6 interaction - IPv6 unrealted to permitted ranges
suite0-dns10.tmpl    INvalid  | INvalid INvalid INvalid | DNS name a superdomain of permitted intersection
suite0-dns1.tmpl     INvalid  | INvalid INvalid INvalid | DNS name not in permitted ranges
suite0-dns2.tmpl     valid    | valid   valid   valid   | DNS name in permitted TLD intersection
suite0-dns3.tmpl     INvalid  | INvalid INvalid INvalid | DNS name not in permitted TLD intersection
suite0-dns4.tmpl     INvalid  | INvalid INvalid INvalid | DNS name not in permitted TLD intersection
suite0-dns5.tmpl     INvalid  | INvalid INvalid INvalid | DNS name not in permitted TLD intersection
suite0-dns6.tmpl     valid    | valid   valid   valid   | DNS name a subdomain of permitted intersection
suite0-dns7.tmpl     valid    | valid   valid   valid   | DNS name is directly a permitted intersection
suite0-dns8.tmpl     INvalid  | INvalid INvalid INvalid | DNS name in a different domain than permitted inersection
suite0-dns9.tmpl     INvalid  | INvalid INvalid INvalid | DNS name not in permitted intersection
suite0-email1a.tmpl  valid    | valid   INvalid INvalid | email is directly permitted domain
suite0-email1b.tmpl  valid    | valid   valid   valid   | email is directly permitted domain
suite0-email2a.tmpl  INvalid  | INvalid INvalid INvalid | email a subdomain of permitted (but subdomains are excluded)
suite0-email2b.tmpl  INvalid  | INvalid INvalid INvalid | email a subdomain of permitted (but subdomains are excluded)
suite0-email3a.tmpl  valid    | valid   valid   INvalid | email a subdomain of permitted (subdomains permitted)
suite0-email3b.tmpl  valid    | valid   valid   valid   | email a subdomain of permitted (subdomains permitted)
suite1-dns1.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is a subdomain of excluded
suite1-dns2.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is a subdomain of excluded
suite1-dns3.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is directly an excluded range
suite1-dns4.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is directly an excluded range
suite1-dns5.tmpl     valid    | valid   valid   valid   | DNS name unrelated to excluded ranges
suite2-dns1.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is permitted constraint, but intersection is empty
suite2-dns2.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is permitted constraint, but intersection is empty
suite2-dns3.tmpl     INvalid  | INvalid INvalid INvalid | DNS name on a different level than permitted intersection
suite2-dns4.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is superdomain of permitted, but intersection is empty
suite2-dns5.tmpl     INvalid  | INvalid INvalid INvalid | DNS name unrelated to permitted constraints
suite3-dns1.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is superdomain of permitted intersection
suite3-dns2.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is permitted constraints that gets out when intersecting
suite3-dns3.tmpl     valid    | valid   valid   valid   | DNS name is permitted intersection directly
suite3-dns4.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is string-similar to permitted intersection
suite3-dns5.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is superdomain of permitted intersection
suite4-dns1.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is one of the constraints, but intersection is empty
suite4-dns2.tmpl     INvalid  | INvalid INvalid INvalid | DNS name is one of the constraints, but intersection is empty
suite4-dns3.tmpl     INvalid  | INvalid INvalid INvalid | DNS name unrelated to constraints, but intersection is empty
suite4-dns4.tmpl     INvalid  | INvalid INvalid INvalid | DNS name unrelated to constraints, but intersection is empty
suite4-dns5.tmpl     INvalid  | INvalid INvalid INvalid | DNS name unrelated to constraints, but intersection is empty
